link,name,location,price,area,bhk,bathroom,area_type_x,id,property_name_address
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-aura-ghatkopar-west-central-mumbai-suburbs-1019-sq-ft-spid-F84374120,"Kalpataru Aura
4.2","2 BHK Flat in Ghatkopar West, Mumbai",₹3.49 Cr,"1,019 sqft",2 BHK,(2 Baths),Built-up Area,1,Kalpataru Aura Ghatkopar West
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-prince-tower-ghatkopar-west-central-mumbai-suburbs-480-sq-ft-spid-C85209644,Prince Tower,"1 BHK Flat in Ghatkopar West, Mumbai",₹1.1 Cr,480 sqft,1 BHK,(1 Bath),Carpet Area,2,Prince Tower Ghatkopar West
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-sai-darshan-apartment-ghatkopar-west-central-mumbai-suburbs-500-sq-ft-spid-Q84216430,Sai Darshan Apartment,"1 BHK Flat in Ghatkopar West, Mumbai",₹1.1 Cr,500 sqft,1 BHK,(1 Bath),Super Built-up Area,3,Sai Darshan Apartment Ghatkopar West
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-aura-ghatkopar-west-central-mumbai-suburbs-1050-sq-ft-spid-E85325352,"Kalpataru Aura
4.2","3 BHK Flat in Ghatkopar West, Mumbai",₹3.49 Cr,"1,050 sqft",3 BHK,(2 Baths),Super Built-up Area,4,Kalpataru Aura Ghatkopar West
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-promenade-at-the-address-ghatkopar-west-central-mumbai-suburbs-661-sq-ft-spid-Y79646701,"Wadhwa Promenade at The Address
4.3","2 BHK Flat in Ghatkopar West, Mumbai",₹2.2 Cr,661 sqft,2 BHK,(2 Baths),Super Built-up Area,5,Wadhwa Promenade at the Address Ghatkopar West
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-aura-ghatkopar-west-central-mumbai-suburbs-850-sq-ft-spid-H85930178,"Kalpataru Aura
4.2","3 BHK Flat in Ghatkopar West, Mumbai",₹3.05 Cr,850 sqft,3 BHK,(2 Baths),Carpet Area,6,Kalpataru Aura Ghatkopar West
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-promenade-at-the-address-ghatkopar-west-central-mumbai-suburbs-650-sq-ft-spid-M85422826,"Wadhwa Promenade at The Address
4.3","2 BHK Flat in Ghatkopar West, Mumbai",₹1.85 Cr,650 sqft,2 BHK,(2 Baths),Carpet Area,7,Wadhwa Promenade at the Address Ghatkopar West
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-promenade-at-the-address-ghatkopar-west-central-mumbai-suburbs-650-sq-ft-spid-M85422826,"Wadhwa Promenade at The Address
4.3","2 BHK Flat in Ghatkopar West, Mumbai",₹1.85 Cr,650 sqft,2 BHK,(2 Baths),Carpet Area,33,"Carpet area: 650
(60.39 sq.m.)  
sq.ft."
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-boulevard-ghatkopar-west-central-mumbai-suburbs-1569-sq-ft-r2-spid-D79838045,Wadhwa Boulevard,"3 BHK Flat in Ghatkopar West, Mumbai",₹3.99 Cr,"1,569 sqft",3 BHK,(2 Baths),Super Built-up Area,8,Wadhwa Boulevard Ghatkopar West
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-boulevard-ghatkopar-west-central-mumbai-suburbs-1046-sq-ft-spid-M85347328,Wadhwa Boulevard,"2 BHK Flat in Ghatkopar West, Mumbai",₹3.95 Cr,"1,046 sqft",2 BHK,(2 Baths),Carpet Area,9,Wadhwa Boulevard Ghatkopar West
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-boulevard-ghatkopar-west-central-mumbai-suburbs-1913-sq-ft-spid-K85355290,Wadhwa Boulevard,"3 BHK Flat in Ghatkopar West, Mumbai",₹5.65 Cr,"1,913 sqft",3 BHK,(3 Baths),Super Built-up Area,10,Wadhwa Boulevard Ghatkopar West
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-boulevard-ghatkopar-west-central-mumbai-suburbs-1755-sq-ft-spid-U85865144,Wadhwa Boulevard,"3 BHK Flat in Ghatkopar West, Mumbai",₹4.75 Cr,"1,755 sqft",3 BHK,(3 Baths),Built-up Area,11,Wadhwa Boulevard Ghatkopar West
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-aura-ghatkopar-west-central-mumbai-suburbs-775-sq-ft-spid-A85325072,"Kalpataru Aura
4.2","2 BHK Flat in Ghatkopar West, Mumbai",₹2.8 Cr,775 sqft,2 BHK,(2 Baths),Carpet Area,12,Kalpataru Aura Ghatkopar West
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-aura-ghatkopar-west-central-mumbai-suburbs-775-sq-ft-spid-A85325072,"Kalpataru Aura
4.2","2 BHK Flat in Ghatkopar West, Mumbai",₹2.8 Cr,775 sqft,2 BHK,(2 Baths),Carpet Area,34,"Carpet area: 775
(72 sq.m.)  
sq.ft."
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-boulevard-ghatkopar-west-central-mumbai-suburbs-1346-sq-ft-spid-A85174678,Wadhwa Boulevard,"3 BHK Flat in Ghatkopar West, Mumbai",₹4 Cr,"1,346 sqft",3 BHK,(2 Baths),Super Built-up Area,13,Wadhwa Boulevard Ghatkopar West
https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-wadhwa-vista-ghatkopar-west-central-mumbai-suburbs-3784-sq-ft-spid-J85956418,Wadhwa Vista,"4 BHK Flat in Ghatkopar West, Mumbai",₹1 Cr,"3,784 sqft",4 BHK,(3 Baths),Super Built-up Area,14,Wadhwa Vista Ghatkopar West
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-aura-ghatkopar-west-central-mumbai-suburbs-1150-sq-ft-spid-W85606670,"Kalpataru Aura
4.2","3 BHK Flat in Ghatkopar West, Mumbai",₹3.49 Cr,"1,150 sqft",3 BHK,(2 Baths),Super Built-up Area,15,Kalpataru Aura Ghatkopar West
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-ashok-odyssey-ghatkopar-west-central-mumbai-suburbs-415-sq-ft-spid-J84230720,Ashok Odyssey,"1 BHK Flat in Ghatkopar West, Mumbai",₹1.22 Cr,415 sqft,1 BHK,(2 Baths),Carpet Area,16,Ashok Odyssey Ghatkopar West
https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-aura-ghatkopar-west-central-mumbai-suburbs-1360-sq-ft-spid-F83954112,"Kalpataru Aura
4.2","2 BHK Flat in Ghatkopar West, Mumbai",₹3.31 Cr,"1,360 sqft",2 BHK,(2 Baths),Super Built-up Area,17,Kalpataru Aura Ghatkopar West
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-ashok-odyssey-ghatkopar-west-central-mumbai-suburbs-410-sq-ft-spid-W86073550,Ashok Odyssey,"1 BHK Flat in Ghatkopar West, Mumbai",₹1 Cr,410 sqft,1 BHK,(2 Baths),Carpet Area,18,Ashok Odyssey Ghatkopar West
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-ashok-odyssey-ghatkopar-west-central-mumbai-suburbs-410-sq-ft-spid-W86073550,Ashok Odyssey,"1 BHK Flat in Ghatkopar West, Mumbai",₹1 Cr,410 sqft,1 BHK,(2 Baths),Carpet Area,35,"Carpet area: 410
(38.09 sq.m.)  
sq.ft."
https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-kalpataru-aura-nityanand-nagar-central-mumbai-suburbs-850-sq-ft-spid-L86070364,"Kalpataru Aura
4.2","3 BHK Flat in Nityanand Nagar, Ghatkopar",₹3.05 Cr,850 sqft,3 BHK,(2 Baths),Carpet Area,19,Kalpataru Aura Nityanand Nagar
https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-ashok-odyssey-ghatkopar-west-central-mumbai-suburbs-410-sq-ft-spid-C84228408,Ashok Odyssey,"1 BHK Flat in Ghatkopar West, Mumbai",₹1.2 Cr,410 sqft,1 BHK,(2 Baths),Carpet Area,20,Ashok Odyssey Ghatkopar West
